run,t,streamName,srcMACdec,dstMACdec,pcp,vid,lenB,qLenBits,gateState,meter_conform,meter_exceed,meter_filtered
TimingAttack-#7,0.000001314,0A-AA-00-00-00-08->0A-AA-00-00-00-0A,11725260718088,11725260718090,5,30,150,0,0,1,0,0
TimingAttack-#7,0.000001314,0A-AA-00-00-00-08->0A-AA-00-00-00-0A,11725260718088,11725260718090,5,30,150,0,0,0,0,0
TimingAttack-#7,0.000001314,0A-AA-00-00-00-08->0A-AA-00-00-00-0A,11725260718088,11725260718090,5,30,150,0,0,0,0,0
TimingAttack-#7,0.000001314,0A-AA-00-00-00-08->0A-AA-00-00-00-0A,11725260718088,11725260718090,5,30,150,0,0,0,0,0
TimingAttack-#7,0.000001314,0A-AA-00-00-00-08->0A-AA-00-00-00-0A,11725260718088,11725260718090,5,30,150,0,0,0,0,0
TimingAttack-#7,0.000009810,compromised_attack,11725260718092,11725260718088,0,41,114,0,0,1,0,0
TimingAttack-#7,0.000014290,display_data,11725260718090,11725260718088,3,20,170,0,0,1,0,0
TimingAttack-#7,0.000014914,display_data,11725260718090,11725260718088,3,20,170,912,0,0,0,0
TimingAttack-#7,0.000014914,display_data,11725260718090,11725260718088,3,20,170,912,0,0,0,0
TimingAttack-#7,0.000014914,compromised_attack,11725260718092,11725260718088,0,41,114,0,0,0,0,0
TimingAttack-#7,0.000014914,display_data,11725260718090,11725260718088,3,20,170,912,0,0,0,0
TimingAttack-#7,0.000014914,display_data,11725260718090,11725260718088,3,20,170,592,0,0,0,0
TimingAttack-#7,0.000018690,critical_control,11725260718089,11725260718088,7,10,225,0,0,1,0,0
TimingAttack-#7,0.000025634,critical_control,11725260718089,11725260718088,7,10,225,0,0,0,0,0
TimingAttack-#7,0.000030114,critical_control,11725260718089,11725260718088,7,10,225,912,0,0,0,0
TimingAttack-#7,0.000030114,critical_control,11725260718089,11725260718088,7,10,225,912,0,0,0,0
TimingAttack-#7,0.000030114,critical_control,11725260718089,11725260718088,7,10,225,592,0,0,0,0
TimingAttack-#7,0.000135925,compromised_attack,0,0,0,41,122,-1,-1,0,1,1
TimingAttack-#7,0.000233944,compromised_attack,0,0,0,41,122,-1,-1,0,1,1
TimingAttack-#7,0.000271665,compromised_attack,0,0,0,41,122,-1,-1,0,1,1
TimingAttack-#7,0.000330129,compromised_attack,0,0,0,41,122,-1,-1,0,1,1
TimingAttack-#7,0.000363878,compromised_attack,0,0,0,41,122,-1,-1,0,1,1
TimingAttack-#7,0.000418979,compromised_attack,0,0,0,41,122,-1,-1,0,1,1
TimingAttack-#7,0.000436785,compromised_attack,0,0,0,41,122,-1,-1,0,1,1
TimingAttack-#7,0.000453270,compromised_attack,0,0,0,41,122,-1,-1,0,1,1
TimingAttack-#7,0.000500000,compromised_attack,11725260718092,11725260718088,0,41,114,912,0,0,0,0
TimingAttack-#7,0.000500000,compromised_attack,11725260718092,11725260718088,0,41,114,0,0,1,0,0
TimingAttack-#7,0.000500000,compromised_attack,11725260718092,11725260718088,0,41,114,912,0,0,0,0
TimingAttack-#7,0.000500000,0A-AA-00-00-00-09->0A-AA-00-00-00-0A,11725260718089,11725260718090,0,0,196,912,0,1,0,0
TimingAttack-#7,0.000500000,compromised_attack,11725260718092,11725260718088,0,41,114,912,0,0,0,0
TimingAttack-#7,0.000500000,0A-AA-00-00-00-08->0A-AA-00-00-00-0C,11725260718088,11725260718092,0,0,74,0,0,1,0,0
TimingAttack-#7,0.000501014,compromised_attack,0,0,0,41,122,-1,-1,0,1,1
TimingAttack-#7,0.000507520,0A-AA-00-00-00-08->0A-AA-00-00-00-0C,11725260718088,11725260718092,0,0,74,0,0,1,0,0
TimingAttack-#7,0.000510720,compromised_attack,11725260718092,11725260718088,0,41,114,0,0,0,0,0
TimingAttack-#7,0.000510720,compromised_attack,11725260718092,11725260718088,0,41,114,0,0,0,0,0
TimingAttack-#7,0.000510720,compromised_attack,11725260718092,11725260718088,0,41,114,0,0,0,0,0
TimingAttack-#7,0.000535173,compromised_attack,0,0,0,41,122,-1,-1,0,1,1
TimingAttack-#7,0.000546605,compromised_attack,0,0,0,41,122,-1,-1,0,1,1
TimingAttack-#7,0.000601594,compromised_attack,0,0,0,41,122,-1,-1,0,1,1
TimingAttack-#7,0.000659093,compromised_attack,0,0,0,41,122,-1,-1,0,1,1
TimingAttack-#7,0.000730224,compromised_attack,0,0,0,41,122,-1,-1,0,1,1
TimingAttack-#7,0.000818416,compromised_attack,0,0,0,41,122,-1,-1,0,1,1
TimingAttack-#7,0.000900753,compromised_attack,0,0,0,41,122,-1,-1,0,1,1
TimingAttack-#7,0.000940528,compromised_attack,0,0,0,41,122,-1,-1,0,1,1
TimingAttack-#7,0.000984813,compromised_attack,0,0,0,41,122,-1,-1,0,1,1
TimingAttack-#7,0.001000000,compromised_attack,11725260718092,11725260718088,0,41,114,0,0,0,0,0
TimingAttack-#7,0.001000011,0A-AA-00-00-00-02->01-80-C2-00-00-0E,11725260718082,1652522221582,0,0,72,0,0,0,0,0
TimingAttack-#7,0.001008679,0A-AA-00-00-00-03->01-80-C2-00-00-0E,11725260718083,1652522221582,0,0,72,0,0,0,0,0
TimingAttack-#7,0.001009415,0A-AA-00-00-00-03->01-80-C2-00-00-0E,11725260718083,1652522221582,0,0,72,0,0,0,0,0
TimingAttack-#7,0.001013950,0A-AA-00-00-00-07->01-80-C2-00-00-0E,11725260718087,1652522221582,0,0,72,0,0,0,0,0
TimingAttack-#7,0.001014431,0A-AA-00-00-00-06->01-80-C2-00-00-0E,11725260718086,1652522221582,0,0,72,0,0,0,0,0
TimingAttack-#7,0.001014453,0A-AA-00-00-00-05->01-80-C2-00-00-0E,11725260718085,1652522221582,0,0,72,0,0,0,0,0
TimingAttack-#7,0.001014947,0A-AA-00-00-00-03->01-80-C2-00-00-0E,11725260718083,1652522221582,0,0,64,0,0,0,0,0
TimingAttack-#7,0.001014947,0A-AA-00-00-00-04->01-80-C2-00-00-0E,11725260718084,1652522221582,0,0,64,0,0,0,0,0
TimingAttack-#7,0.001015619,0A-AA-00-00-00-03->01-80-C2-00-00-0E,11725260718083,1652522221582,0,0,94,0,0,0,0,0
TimingAttack-#7,0.001018690,critical_control,11725260718089,11725260718088,7,10,225,0,0,1,0,0
TimingAttack-#7,0.001018690,critical_control,11725260718089,11725260718088,7,10,225,0,0,0,0,0
