throughput_bps_tx,throughput_bps_rx,packets_sent,packets_received,packets_dropped,drop_rate,queue_length_max,ptp_offset_mean,ptp_offset_max,rate_ratio_mean,peer_delay_mean,e2e_delay_avg,e2e_delay_max,e2e_delay_std,ptp_samples,e2e_samples,label
54000000.000000887,0.000000000,30.000000000,11.000000000,5.000000000,0.108695652,6.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
54000000.000000887,0.000000000,30.000000000,11.000000000,4.000000000,0.088888889,7.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
63000000.000001036,0.000000000,35.000000000,11.000000000,5.000000000,0.098039216,7.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
54000000.000000887,0.000000000,30.000000000,11.000000000,5.000000000,0.108695652,6.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
54000000.000001073,0.000000000,30.000000000,11.000000000,5.000000000,0.108695652,6.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
54000000.000001073,0.000000000,30.000000000,11.000000000,5.000000000,0.108695652,6.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
60000000.000001192,0.000000000,35.000000000,12.000000000,5.000000000,0.096153846,7.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
56528000.000001125,0.000000000,34.000000000,13.000000000,4.000000000,0.078431373,8.000000000,-0.000003833,0.000000000,1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,9.000000000,0.000000000,normal
54000000.000001073,0.000000000,30.000000000,11.000000000,5.000000000,0.108695652,8.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
63000000.000001259,0.000000000,35.000000000,11.000000000,5.000000000,0.098039216,7.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
54000000.000001453,0.000000000,30.000000000,11.000000000,5.000000000,0.108695652,7.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
54000000.000001453,0.000000000,30.000000000,11.000000000,5.000000000,0.108695652,7.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
